_row_note,status,langcode,title,path_alias,body_summary,body,field_category_name,field_region_name,field_sector_name,field_stat_prefix,field_stat_value,field_stat_suffix,field_stat_label,field_year,field_key_takeaways,field_source_text,field_source_link_uri,field_source_link_title,field_featured,field_highlight,field_order,field_insight_shell,field_media_mid,field_insight_thumbnail_mid
source_row=2,1,en,Saudi Arabia GDP Growth (2023),,Saudi Arabia recorded strong GDP growth driven by oil revenues and non-oil expansion.,Saudi Arabia achieved one of the highest GDP growth rates globally in 2023. The growth was supported by strong oil sector performance and continued expansion of non-oil sectors under Vision 2030.,Economy,Saudi Arabia,General,+,8.7,%,GDP growth,2023,<ul><li>Strong macroeconomic performance</li><li>Growth supported by diversification strategy</li><li>Attractive environment for investors</li></ul>,World Bank,https://data.worldbank.org/,Source,1,0,0,platform,,
source_row=3,1,en,Non-oil GDP Growth (2023),,Non-oil sectors are steadily expanding as part of diversification efforts.,"Saudi Arabia’s non-oil GDP continues to grow as the government invests heavily in tourism, logistics, technology, and manufacturing sectors.",Economy,Saudi Arabia,General,+,4.4,%,Non-oil GDP growth,2023,<ul><li>Diversification is progressing</li><li>Growth beyond oil sector</li><li>Strong government support</li></ul>,GASTAT,https://www.stats.gov.sa/,Source,1,0,1,platform,,
source_row=4,1,en,FDI Inflow (2022),,Foreign investment is increasing as reforms improve the business environment.,Saudi Arabia is attracting increasing levels of foreign direct investment as regulatory reforms and economic transformation programs create new opportunities.,Investment,Saudi Arabia,General,SAR,95,B,Foreign Direct Investment inflow,2022,<ul><li>Improved investment climate</li><li>Strong international interest</li><li>Vision 2030 impact</li></ul>,UNCTAD,https://unctad.org/,Source,1,0,2,platform,,
source_row=5,1,en,Unemployment Rate (2023),,Labor market conditions are improving across the Kingdom.,"Saudi Arabia continues to reduce unemployment through job creation programs and economic reforms, improving labor market participation.",Labor,Saudi Arabia,General,,7.7,%,Unemployment rate,2023,<ul><li>Declining unemployment</li><li>Job creation initiatives</li><li>Growing workforce participation</li></ul>,GASTAT,https://www.stats.gov.sa/,Source,1,0,3,platform,,
source_row=6,1,en,Population (2023),,Saudi Arabia has a large and growing population supporting market demand.,"With a population of over 36 million, Saudi Arabia represents a large consumer market with increasing demand across sectors.",Demographics,Saudi Arabia,General,,36,M,Total population,2023,<ul><li>Large consumer base</li><li>Growing demand</li><li>Youth-driven economy</li></ul>,World Bank,https://data.worldbank.org/,Source,1,0,4,platform,,
source_row=7,1,en,Internet Penetration (2023),,Saudi Arabia has one of the highest internet penetration rates globally.,"High internet penetration supports digital transformation, e-commerce growth, and technology adoption across industries.",Technology,Saudi Arabia,Technology,,98,%,Internet penetration rate,2023,<ul><li>Digital-ready market</li><li>High connectivity</li><li>Strong tech adoption</li></ul>,DataReportal,https://datareportal.com/,Source,1,0,5,platform,,
source_row=8,1,en,E-commerce Market Size (2023),,E-commerce continues to grow rapidly in Saudi Arabia.,Saudi Arabia’s e-commerce sector is expanding quickly due to digital adoption and consumer demand for online services.,Technology,Saudi Arabia,Technology,SAR,52,B,E-commerce market size,2023,<ul><li>Rapid digital growth</li><li>Strong consumer demand</li><li>Expanding online economy</li></ul>,Statista,https://www.statista.com/,Source,1,0,6,platform,,
source_row=9,1,en,Inflation Rate (2023),,Inflation remains relatively stable compared to global averages.,Saudi Arabia maintains controlled inflation levels due to government policies and stable economic conditions.,Economy,Saudi Arabia,General,,2.3,%,Inflation rate,2023,<ul><li>Stable inflation</li><li>Predictable economy</li><li>Investor confidence</li></ul>,World Bank,https://data.worldbank.org/,Source,1,0,7,platform,,
source_row=10,1,en,Tourism Contribution to GDP (2023),,Tourism is becoming a key contributor to economic growth.,"Tourism is a strategic sector under Vision 2030, contributing significantly to GDP and attracting international visitors.",Tourism,Saudi Arabia,Tourism,,9,%,Tourism contribution to GDP,2023,<ul><li>Strategic sector growth</li><li>Government investment</li><li>International expansion</li></ul>,WTTC,https://wttc.org/,Source,1,0,8,platform,,
source_row=11,1,en,Oil Production (2023),,Saudi Arabia remains one of the world's largest oil producers.,Oil production continues to be a major contributor to Saudi Arabia’s economy and global energy markets.,Energy,Saudi Arabia,Energy,,10,M bpd,Oil production,2023,<ul><li>Global energy leader</li><li>Stable oil output</li><li>Strategic influence</li></ul>,OPEC,https://www.opec.org/,Source,1,0,9,platform,,
