event_title,sector_title
Future Investment Initiative 2026,Finance & Fintech
Future Investment Initiative 2026,Technology
LEAP 2026,Technology
Black Hat MEA 2026,Technology
Saudi Infrastructure Expo,Construction & Infrastructure
Saudi Infrastructure Expo,Logistics & Transport
Cityscape Global Riyadh,Construction & Infrastructure
Saudi Manufacturing Show,Manufacturing
Global Health Exhibition KSA,Healthcare
Saudi Tourism Forum,Tourism
MISA Investment Forum,Finance & Fintech
GITEX Global Dubai,Technology
Arab Health Dubai,Healthcare
Saudi Logistics Expo,Logistics & Transport
Riyadh International Book Fair,Tourism
Saudi Smart Cities Summit,Technology
Saudi Smart Cities Summit,Construction & Infrastructure
Digital Transformation Summit KSA,Technology
Saudi Finance Expo,Finance & Fintech
Middle East Energy Dubai,Energy
Saudi HR Summit,Finance & Fintech
Real Estate Future Forum,Construction & Infrastructure
Saudi Industrial Development Forum,Manufacturing
