title,field_category,field_country,field_document,field_document_type,field_featured,field_source_link,field_platforms,field_year,field_sector,field_sector_pages,field_taxonomy,field_short_description
Business Registration Form,Business Setup,Saudi Arabia,business_registration_form.pdf,Form,1,https://misa.gov.sa,MISA (Ministry of Investment Saudi Arabia);Saudi Business Center (Meras),2024,General,Technology,Business Support,"Official form issued by the Ministry of Investment to initiate company registration in Saudi Arabia, covering entity details, ownership structure, and legal requirements. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Company Incorporation Guide,Business Setup,Saudi Arabia,company_incorporation_guide.pdf,Guide,1,https://misa.gov.sa,MISA (Ministry of Investment Saudi Arabia),2024,General,Technology,Investment,"Comprehensive guide explaining the full company incorporation process, including licensing, approvals, timelines, and requirements for both foreign and local investors. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Commercial Registration Form,Business Setup,Saudi Arabia,commercial_registration_form.pdf,Form,0,https://mci.gov.sa,Saudi Business Center (Meras),2023,General,Tourism,Business Support,"Government-issued form required to obtain a Commercial Registration (CR), including business activity classification and company ownership details. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Articles of Association Template,Business Setup,Saudi Arabia,articles_template.pdf,Template,0,https://mci.gov.sa,Saudi Business Center (Meras),2023,General,Finance & Fintech,Business Support,"Standard template for drafting Articles of Association, defining company governance, shareholder rights, and legal structure. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Business Activity Classification Guide,Business Setup,Saudi Arabia,activity_guide.pdf,Guide,0,https://mci.gov.sa,Saudi Business Center (Meras),2023,General,Manufacturing,Business Support,"Guide to selecting appropriate business activity codes required for licensing and regulatory classification in Saudi Arabia. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Employment Contract Template,HR,Saudi Arabia,employment_contract.pdf,Template,1,https://hrsd.gov.sa,Qiwa;Mudad,2024,General,Technology,HR Services,"Standard employment contract aligned with Saudi labor law, defining roles, responsibilities, compensation, and legal compliance. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Labor Law Guide,HR,Saudi Arabia,labor_law.pdf,Guide,1,https://hrsd.gov.sa,Qiwa,2024,General,Construction & Infrastructure,HR Services,"Detailed overview of Saudi labor law covering hiring, termination, employee rights, and employer obligations. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Work Permit Application Form,HR,Saudi Arabia,work_permit.pdf,Form,0,https://hrsd.gov.sa,Qiwa;Taqat,2023,General,Healthcare,Residency & Visas,"Official form for obtaining work permits, including employee data, sponsorship details, and approvals. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Employee Onboarding Checklist,HR,Saudi Arabia,onboarding.pdf,Template,0,https://hrsd.gov.sa,Qiwa,2023,General,Logistics & Transport,HR Services,"Checklist covering onboarding procedures, required documentation, and compliance steps for new hires. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
HR Policy Framework,HR,Saudi Arabia,hr_policy.pdf,Policy,0,https://hrsd.gov.sa,Qiwa,2023,General,Finance & Fintech,HR Services,"Framework outlining internal HR policies including hiring, performance management, and disciplinary procedures. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
