vocabulary_machine_name,tid,term_name,langcode,vocabulary_label
sector,176,General,en,Sector
sector,177,Technology,en,Sector
sector,190,Tourism,en,Sector
sector,192,Energy,en,Sector
sector,200,Construction & Infrastructure,en,Sector
sector,201,Logistics & Transport,en,Sector
sector,202,Finance & Fintech,en,Sector
sector,203,Manufacturing,en,Sector
sector,204,Healthcare,en,Sector
tags,10,Markting,en,Tags
tags,11,licenses,en,Tags
tags,12,Visa,en,Tags
tags,13,Taxes,en,Tags
tags,14,Saudi Arabia,en,Tags
tags,15,#address ,en,Tags
tags,16,#Saudi_National_Address,en,Tags
tags,17,Work Permit Classification by Skill Categories in Saudi Arabia,en,Tags
tags,18,Work in Saudi Arabia,en,Tags
tags,19,Professional Accreditation Program in Saudi Arabia,en,Tags
tags,20,Work Permits and Visas,en,Tags
tags,21,Pillar for a Reliable Labor Market and its Impact on Work Permits and Visas,en,Tags
tags,22,برنامج الاعتماد المهني,en,Tags
tags,23,برنامج الاعتماد المهني في السعودية,en,Tags
tags,24,دليل شامل لتصنيف رخص العمل حسب الفئات المهارية في السعودية,en,Tags
tags,25,10 Steps to Setting Up Your Business in Saudi Arabia,en,Tags
tags,26,Setting Up Your Business in Saudi Arabia,en,Tags
tags,27,Business in Saudi Arabia,en,Tags
tags,28,Ministry of Labor in Saudi Arabia,en,Tags
tags,29,Labor in Saudi Arabia,en,Tags
tags,30,company formation in saudi arabia,en,Tags
tags,31,commercial license in saudi arabia,en,Tags
tags,32,llc company formation saudi,en,Tags
tags,33,open business in saudi arabia,en,Tags
tags,34,set up business in saudi arabia,en,Tags
tags,35,setting up a business in saudi arabia,en,Tags
tags,36,setting up business in ksa,en,Tags
tags,37,setting up business in saudi,en,Tags
tags,38,starting a business in saudi arabia,en,Tags
tags,48,Chambers of Commerce in Saudi Arabia,en,Tags
tags,49,Chambers of Commerce in Saudi ,en,Tags
tags,50,Exploring the Saudi Banking Sector,en,Tags
tags,51,open bank account in saudi arabia,en,Tags
tags,52,Saudi Business Center,en,Tags
tags,53,Saudization And Nitaqat System ,en,Tags
tags,54,Saudization And Nitaqat ,en,Tags
tags,55,Saudization,en,Tags
tags,56,Nitaqat ,en,Tags
tags,57,Qiwa Platform,en,Tags
tags,58,Qiwa Platform,en,Tags
tags,59,قوى,en,Tags
tags,60,منصة قوى,en,Tags
tags,61,Mudad Platform and the Wage Protection System,en,Tags
tags,62,Mudad Platform ,en,Tags
tags,63,Wage Protection System,en,Tags
tags,64,Life in Saudi Arabia,en,Tags
tags,65,living in Saudi Arabia,en,Tags
tags,66,MISA Investment License,en,Tags
tags,67,mining license,en,Tags
tags,68,Transport and Logistics license,en,Tags
tags,69,Labor Services,en,Tags
tags,70,خدمات الاستشارات,ar,Tags
tags,70,Consulting Services,en,Tags
tags,71,Consulting Services in saudi arabia,en,Tags
tags,72,Entrepreneur license ,en,Tags
tags,73,NEOM,en,Tags
tags,74,Company Registration and Project Participation in Saudi Arabia,en,Tags
tags,75,Introduction to NEOM,en,Tags
tags,76,Company Registration in NEOM,en,Tags
tags,77,Why Invest in Saudi Arabia,en,Tags
tags,78,invest in Saudi Arabia,en,Tags
tags,79,Vision 2030,en,Tags
tags,80,Saudi Vision 2030,en,Tags
tags,81,Saudi Vision,en,Tags
tags,82,العلاقات الحكومية في المملكة العربية السعودية,ar,Tags
tags,82, Government Relations in Saudi Arabia,en,Tags
tags,83,Human Resources Services In Saudi Arabia,en,Tags
tags,84,hr Services In Saudi Arabia,en,Tags
tags,85,GRO Services In Saudi Arabia,en,Tags
tags,86,PRO Services In Saudi Arabia,en,Tags
tags,87,Obtaining a License in Saudi Arabia,en,Tags
tags,88,License in Saudi Arabia,en,Tags
tags,89,Taxation in Saudi Arabia,en,Tags
tags,90,tax in Saudi Arabia,en,Tags
tags,91,VAT in Saudi Arabia,en,Tags
tags,92,Fasah Platform,en,Tags
tags,93,منصة فسح,en,Tags
tags,94,منصة فسح,ar,Tags
tags,94,Fasah ,en,Tags
tags,95,Saudi Food and Drug Authority,en,Tags
tags,96,SFDA,en,Tags
tags,97,Business Setup Companies in Saudi Arabia,en,Tags
tags,98,Mazaya Platform,en,Tags
tags,99,وزارة الاستثمار,ar,Tags
tags,99,MIZA,en,Tags
tags,100,متعدد,en,Tags
tags,101,شركة متعدد,en,Tags
tags,102,Subsidiary Companies in Saudi Arabia,en,Tags
tags,103,Subsidiary Company in Saudi Arabia,en,Tags
tags,104,Companies in Saudi Arabia,en,Tags
tags,105,Company in Saudi Arabia,en,Tags
tags,106,General Organization for Social Insurance in Saudi Arabia,en,Tags
tags,107,GOSI Platform,en,Tags
tags,108,General Organization for Social Insurance Platform,en,Tags
tags,109,Saudi Post SPL,en,Tags
tags,110,spl,en,Tags
tags,111,Etimad Platform,en,Tags
tags,112,إعتماد,ar,Tags
tags,112,Etimad ,en,Tags
tags,113,اعتماد,en,Tags
tags,114,منصة اعتماد,en,Tags
tags,115,MODON,en,Tags
tags,116,motaded,en,Tags
tags,117,Qiwa Services,en,Tags
tags,118,Employee Transfer from Qiwa,en,Tags
tags,119,Contract Approval from Qiwa,en,Tags
tags,120,Contract Approval,en,Tags
tags,121,مدد,en,Tags
tags,122,منصة مدد,en,Tags
tags,123,حماية الاجور,en,Tags
tags,124,Mudad portal,en,Tags
tags,125,fasah portal,en,Tags
tags,126,التأمينات الاجتماعية,ar,Tags
tags,126,gosi,en,Tags
tags,127,Qiwa,en,Tags
tags,128,Mudad,en,Tags
tags,129,فسح,en,Tags
tags,130,ميزا,en,Tags
tags,131,سابر,en,Tags
tags,132,Saber,en,Tags
tags,133,Saber platform,en,Tags
tags,134,Saber portal,en,Tags
tags,135,منصة سابر,en,Tags
tags,136,أبشر,ar,Tags
tags,136,Absher,en,Tags
tags,137,ابشر,en,Tags
tags,138,مدن,en,Tags
tags,139,مقدمة,en,Tags
