nid,title_ar,body_summary,target_audience,service_duration,provided_languages,service_channels,service_cost,payment_options,categories,beneficiaries,tags,source_note
1,,"A Service License is essential for businesses looking to set up operations in consultancy, IT, legal services, marketing, and other professional sectors in Saudi Arabia. This license is a key requirement for both local and international firms planning to establish a presence in the Kingdom. It facilitates foreign business registration in Saudi Arabia and the registration of businesses offering intangible goods or services.",,,,,,,"Business Support",,,"summary=en_fallback; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
65,"المناطق الحرة في السعودية","يمكّن ترخيص خدمة المنطقة الحرة الشركات من العمل داخل مناطق اقتصادية محددة في المملكة العربية السعودية، مما يوفر مزايا كبيرة مثل الحوافز الضريبية واللوائح المبسطة والملكية الأجنبية بنسبة 100٪. تعتبر هذه المناطق مفيدة بشكل خاص للشركات في قطاعات مثل الاستشارات وتكنولوجيا المعلومات والخدمات القانونية وغيرها من الخدمات المهنية. ويدعم الترخيص تسجيل الشركات الأجنبية في المملكة العربية السعودية ويسهل إنشاء مراكز الخدمة الإقليمية.",,,,,,,"Business Support",,Cargo,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=ar"
83,"ترخيص المقرات الاقليمية (ترخيص منطقة الشرق الأوسط وشمال أفريقيا)","يسمح ترخيص المقر الإقليمي (RHQ)، المعروف أيضًا باسم ترخيص الشرق الأوسط وشمال إفريقيا، للشركات متعددة الجنسيات بإنشاء مقرها الإقليمي في المملكة العربية السعودية. ويقدم هذا الترخيص العديد من المزايا، بما في ذلك الإعفاءات من السعودة والحوافز الضريبية والعمليات التنظيمية المبسطة. يعد ترخيص RHQ خيارًا استراتيجيًا للشركات التي تدير العمليات في دولتين على الأقل في منطقة الشرق الأوسط وشمال إفريقيا خارج المملكة العربية السعودية وتتطلع إلى مركزية إدارتها الإقليمية.",,,,,,,"Business Support",,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
90,"خدمات الموارد البشرية","من خلال معرفتنا وخبرتنا الطويلة بالأنظمة المعمول بها في المملكة العربية السعودية وجميع الهيئات الحكومية عبر مختلف الوزارات، فإن ذلك يجعلنا خيارك الأفضل لخدمات GRO",,,,,,,,,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=empty; beneficiaries=empty; tags=empty"
91,"مساحات العمل المشترك","توفر خدمات العمل المشترك لدينا مساحات مكتبية مرنة ومجهزة بالكامل للشركات من جميع الأحجام. سواء كنت تعمل لحسابك الخاص، أو شركة ناشئة، أو شركة قائمة، فإن مساحات العمل المشتركة لدينا في المملكة العربية السعودية توفر بيئات عمل ديناميكية مع إمكانية الوصول إلى المرافق المشتركة، وغرف الاجتماعات، وفرص التواصل. تعتبر مساحات العمل المشتركة هذه مثالية للشركات التي تبحث عن استئجار مكاتب قصيرة الأجل في المملكة العربية السعودية أو حلول مكتبية طويلة الأجل.",,,,,2000,,"Office space services",,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
92,"حاضنات الأعمال","تقدم الخدمة لرواد الأعمال الذين يرغبون في تأسيس شركات تقنية أو ابتكارية أو متميزة ناشئة قابلة للتوسع والنمو لتقديم منتج أو خدمة بشكل أفضل ومختلف في السوق السعودي، ولديها جهات داعمه معتمدة من الوزارة وهذه الجهات عادة تشمل:",,,,,,,"Residency & Visas",,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
96,"الإقامة المميزة في المملكة العربية السعودية","تأسّس مركز الإقامة المميَّزة في يناير 2019 بموجب قرار من مجلس الوزراء رقم (247)، وتاريخ 09/05/1440هـ، بهدف جذب الفئات المميَّزة من الكفاءات والمستثمرين، ودعمها للمشاركة في مسيرة التنمية التي تعمل عليها السعودية لإصلاح وخلق بيئة عمل جذابة ومنافسة للمستثمر الراغب في توسيع أعماله في السعودية. يتّم من خلال تسهيل إقامتهم، وتوفير أنماط مرنة للمعيشة والعمل على أرضها. وقد عملت السعودية منذ إصدار قانون الإقامة المميزة على تطوير أنظمتها وتقديم مختلف التسهيلات للفئات المستهدفة، عن طريق منظومة من المزايا والخدمات الإلكترونية.",,,,,,,,,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=empty; beneficiaries=empty; tags=empty"
97,"إصدار التأشيرة","يقدم إصدار التأشيرات في المملكة العربية السعودية مجموعة من أنواع التأشيرات المصممة خصيصًا للمستثمرين والعمال المؤقتين والموظفين لفترات طويلة. تمكن هذه التأشيرات المغتربين من العيش والعمل والاستثمار في المملكة العربية السعودية مع الالتزام بقوانين وأنظمة الهجرة في البلاد. وقد تم تصميم هذا النظام لدعم كل من المستثمرين الأجانب والعمالة الماهرة، مما يجعل المملكة العربية السعودية وجهة جذابة للمواهب والاستثمارات العالمية.",,,,,,,,,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=empty; beneficiaries=empty; tags=empty"
98,"خدمات الترجمة","تقدم خدمات الترجمة المعتمدة في متعدد ترجمات دقيقة وحساسة ثقافيًا لمجموعة واسعة من الوثائق، من النصوص القانونية والطبية إلى الوثائق التجارية، والتعليمية، والفنية، نضمن ترجمات عالية الجودة واحترافية مصممة لتلبية احتياجاتك الخاصة.",,,,,,,,,Cargo,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=empty; beneficiaries=empty; tags=ar"
99,"الخدمات الاستشارية","توفر خدماتنا الاستشارية إرشادات الخبراء في المسائل القانونية والإدارية والمالية، بما في ذلك المحاسبة ومسك الدفاتر. نحن نساعد الشركات في التعامل مع اللوائح المحلية وتحسين عملياتها وضمان الامتثال للمتطلبات المالية والقانونية. تم تصميم استشاراتنا المخصصة لمساعدة الشركات على النجاح في السوق التنافسية في المملكة العربية السعودية.","Local and international businesses that need legal, administrative, or financial consulting support in Saudi Arabia","Defined with you based on the scope of consultation","Arabic and English","Virtual sessions, on-site workshops, and continuous support","Tailored pricing according to engagement requirements","Flexible invoicing with bank transfer or corporate payment gateways","Business Support",,"Business | Cargo","summary=ar; audience=en_fallback; duration=en_fallback; languages=en_fallback; channels=en_fallback; cost=en_fallback; payment=en_fallback; categories=ar; beneficiaries=empty; tags=ar"
