title,status,langcode,translation_source_title,body,body_summary,field_short_description,field_country_name,field_type,field_relationship_focus,field_external_link_uri,field_external_link_title,field_priority,field_featured,field_meta_tags_json,field_logo_mid,field_chamber_featured_stats_json,path_alias
"Saudi Chambers",1,en,,"<p><strong>Saudi Chambers</strong>. Federation of Saudi chambers: policy voice, SME programmes, and links to regional boards—start at saudichambers.sa.</p><p>The Council of Saudi Chambers coordinates the network of regional chambers, publishes sector positions, and runs programmes that help companies understand licensing, procurement, and workforce policy. Use it when you need a national view before engaging a specific city chamber for branch-level services, events, and dispute referral pathways.</p>","Federation of Saudi chambers: policy voice, SME programmes, and links to regional boards—start at saudichambers.sa. The Council of Saudi Chambers coordinates the network of regional chambers, publishes sector positions, and runs programmes that help companies understand licensing, procurement, and workforce","Federation of Saudi chambers: policy voice, SME programmes, and links to regional boards—start at saudichambers.sa.","Saudi Arabia",chamber_of_commerce,"The Council of Saudi Chambers coordinates the network of regional chambers, publishes sector positions, and runs programmes that help companies understand licensing, procurement, and workforce",https://www.saudichambers.sa,saudichambers.sa,1,1,"{""title"":""Saudi Chambers (CSC): federation of Saudi chambers & business policy"",""description"":""What the Council of Saudi Chambers does, how it connects to Riyadh, Jeddah, and Eastern Province chambers, and when to use the national federation versus local boards."",""keywords"":""Saudi Chambers, Council of Saudi Chambers, CSC Saudi Arabia, federation chambers KSA, saudichambers.sa""}",,"[""National federation coordinating regional chambers"",""Policy advocacy and SME-facing programmes"",""Gateway before city-level chamber services""]",/chambers/saudi-chambers
"Riyadh Chamber of Commerce",1,en,,"<p><strong>Riyadh Chamber of Commerce</strong>. Riyadh Chamber: business services, training, and advocacy for the capital region—see chamber.sa.</p><p>The Riyadh Chamber supports companies headquartered or operating in the capital with membership services, certifications, training calendars, and networking aligned with national reform programmes. It is a practical first stop for CR-based entities needing local introductions, tender awareness, and documentation support tied to Riyadh authorities.</p>","Riyadh Chamber: business services, training, and advocacy for the capital region—see chamber.sa. The Riyadh Chamber supports companies headquartered or operating in the capital with membership services, certifications, training calendars, and networking aligned with national reform programmes","Riyadh Chamber: business services, training, and advocacy for the capital region—see chamber.sa.","Saudi Arabia",chamber_of_commerce,"The Riyadh Chamber supports companies headquartered or operating in the capital with membership services, certifications, training calendars, and networking aligned with national reform programmes",https://www.chamber.sa,chamber.sa,2,1,"{""title"":""Riyadh Chamber of Commerce: capital-region business services & advocacy"",""description"":""Overview of Riyadh Chamber membership, SME programmes, events, and how it complements the Saudi Chambers federation and national platforms."",""keywords"":""Riyadh Chamber of Commerce, chamber.sa, Riyadh business membership, Saudi capital chamber""}",,"[""Capital-region membership and business services"",""Training, events, and SME programmes"",""Local counterpart to national federation""]",/chambers/riyadh-chamber-of-commerce
"Jeddah Chamber of Commerce",1,en,,"<p><strong>Jeddah Chamber of Commerce</strong>. Jeddah Chamber (JCCI): western KSA trade, logistics, and Red Sea business gateway—jcci.org.sa.</p><p>JCCI serves western Saudi Arabia with a strong orientation toward import–export, logistics, hospitality, and Red Sea corridor projects. Exporters and port-facing operators typically pair JCCI introductions with customs and maritime advisors because the chamber’s committees track corridor-specific bottlenecks and seasonal trade peaks.</p>","Jeddah Chamber (JCCI): western KSA trade, logistics, and Red Sea business gateway—jcci.org.sa. JCCI serves western Saudi Arabia with a strong orientation toward import–export, logistics, hospitality, and Red Sea corridor projects. Exporters and port-facing operators typically pair JCCI","Jeddah Chamber (JCCI): western KSA trade, logistics, and Red Sea business gateway—jcci.org.sa.","Saudi Arabia",chamber_of_commerce,"JCCI serves western Saudi Arabia with a strong orientation toward import–export, logistics, hospitality, and Red Sea corridor projects. Exporters and port-facing operators typically pair JCCI",https://www.jcci.org.sa,jcci.org.sa,3,1,"{""title"":""Jeddah Chamber of Commerce (JCCI): western Saudi trade & logistics"",""description"":""How JCCI supports businesses in Jeddah and the western region, with emphasis on trade, logistics, and Red Sea economic activity."",""keywords"":""Jeddah Chamber, JCCI, jcci.org.sa, western Saudi Arabia chamber, Red Sea trade chamber""}",,"[""Western region trade and logistics focus"",""Gateway orientation for Red Sea corridor"",""Committees aligned with port-facing sectors""]",/chambers/jeddah-chamber-of-commerce
"Eastern Province Chamber",1,en,,"<p><strong>Eastern Province Chamber</strong>. Asharqia Chamber: industrial, energy, and petrochemical ecosystem support in the Eastern Province—chamber.org.sa.</p><p>The Eastern Province Chamber (Asharqia) anchors programmes for energy, manufacturing, and supply-chain clusters around Jubail, Dammam, and Dhahran. Operators with large contractor footprints use it for HSE forums, local content briefings, and introductions to tier-2 suppliers that rarely appear on generic national directories.</p>","Asharqia Chamber: industrial, energy, and petrochemical ecosystem support in the Eastern Province—chamber.org.sa. The Eastern Province Chamber (Asharqia) anchors programmes for energy, manufacturing, and supply-chain clusters around Jubail, Dammam, and Dhahran. Operators with large contractor footprints use it","Asharqia Chamber: industrial, energy, and petrochemical ecosystem support in the Eastern Province—chamber.org.sa.","Saudi Arabia",chamber_of_commerce,"The Eastern Province Chamber (Asharqia) anchors programmes for energy, manufacturing, and supply-chain clusters around Jubail, Dammam, and Dhahran. Operators with large contractor footprints use it",https://www.chamber.org.sa,chamber.org.sa,4,1,"{""title"":""Eastern Province Chamber (Asharqia): industrial & energy business support"",""description"":""Asharqia Chamber context for companies in Saudi Arabia’s Eastern Province: industry clusters, programmes, and how it fits national chamber structures."",""keywords"":""Eastern Province Chamber, Asharqia Chamber, chamber.org.sa, Dammam chamber, Jubail business""}",,"[""Industrial and energy-sector cluster focus"",""Supplier and contractor ecosystem programmes"",""Regional counterpart to Riyadh and Jeddah boards""]",/chambers/eastern-province-chamber
"British Saudi Business Council",1,en,,"<p><strong>British Saudi Business Council</strong>. BSBC: bilateral trade, investor introductions, and policy dialogue between the UK and Saudi Arabia—bsbc.org.uk.</p><p>The British Saudi Business Council convenes corporates, professional services, and SMEs around trade missions, regulatory updates, and sector roundtables. UK exporters and Saudi partners use it to sanity-check market entry sequencing with peers who have recent licensing, VAT, and localisation experience rather than relying on generic checklists alone.</p>","BSBC: bilateral trade, investor introductions, and policy dialogue between the UK and Saudi Arabia—bsbc.org.uk. The British Saudi Business Council convenes corporates, professional services, and SMEs around trade missions, regulatory updates, and sector roundtables. UK exporters and Saudi partners use it to","BSBC: bilateral trade, investor introductions, and policy dialogue between the UK and Saudi Arabia—bsbc.org.uk.","United Kingdom",business_council,"The British Saudi Business Council convenes corporates, professional services, and SMEs around trade missions, regulatory updates, and sector roundtables. UK exporters and Saudi partners use it to",https://www.bsbc.org.uk,bsbc.org.uk,5,1,"{""title"":""British Saudi Business Council (BSBC): UK–Saudi trade & investment"",""description"":""What BSBC offers UK and Saudi companies: networking, missions, and practical context for cross-border deals and compliance."",""keywords"":""BSBC, British Saudi Business Council, UK Saudi trade, Saudi Arabia UK investment""}",,,/chambers/british-saudi-business-council
"US-Saudi Business Council",1,en,,"<p><strong>US-Saudi Business Council</strong>. USSBC: policy, commercial diplomacy, and member programmes for US firms in the Saudi market—ussbc.org.</p><p>The US–Saudi Business Council publishes cross-border market intelligence, hosts delegations, and connects American industrials, defence suppliers, and services firms with counterpart ministries and buyers. Members treat it as a long-horizon relationship channel that complements embassy trade teams when programmes require sustained private-sector follow-up.</p>","USSBC: policy, commercial diplomacy, and member programmes for US firms in the Saudi market—ussbc.org. The US–Saudi Business Council publishes cross-border market intelligence, hosts delegations, and connects American industrials, defence suppliers, and services firms with counterpart ministries and","USSBC: policy, commercial diplomacy, and member programmes for US firms in the Saudi market—ussbc.org.",USA,business_council,"The US–Saudi Business Council publishes cross-border market intelligence, hosts delegations, and connects American industrials, defence suppliers, and services firms with counterpart ministries and",https://www.ussbc.org,ussbc.org,6,1,"{""title"":""US-Saudi Business Council: US companies in Saudi Arabia"",""description"":""USSBC overview for US exporters and investors: advocacy, programmes, and how the council supports market entry alongside government channels."",""keywords"":""USSBC, US Saudi Business Council, US Saudi trade, American business Saudi Arabia""}",,,/chambers/us-saudi-business-council
"Saudi French Business Council",1,en,,"<p><strong>Saudi French Business Council</strong>. France–Saudi business council: bilateral committees, SME matchmaking, and Franco-Saudi economic dialogue.</p><p>The Saudi French Business Council supports Franco-Saudi industrial partnerships, services exports, and cultural industry collaborations. French mid-caps use it to access curated introductions in regulated sectors where language, documentation, and local partnership structures materially affect bid quality.</p>","France–Saudi business council: bilateral committees, SME matchmaking, and Franco-Saudi economic dialogue. The Saudi French Business Council supports Franco-Saudi industrial partnerships, services exports, and cultural industry collaborations. French mid-caps use it to access curated introductions in","France–Saudi business council: bilateral committees, SME matchmaking, and Franco-Saudi economic dialogue.",France,business_council,"The Saudi French Business Council supports Franco-Saudi industrial partnerships, services exports, and cultural industry collaborations. French mid-caps use it to access curated introductions in",https://www.medefinternational.fr,"Medef International",7,0,"{""title"":""Saudi French Business Council: France–Saudi economic cooperation"",""description"":""Bilateral business council connecting French and Saudi companies: committees, missions, and sector cooperation."",""keywords"":""Saudi French Business Council, France Saudi trade, Medef Saudi""}",,,/chambers/saudi-french-business-council
"Saudi German Liaison Office for Economic Affairs",1,en,,"<p><strong>Saudi German Liaison Office for Economic Affairs</strong>. AHK Saudi Arabia: German Chamber desk for market entry, legal/tax orientation, and delegation programmes—saudiarabien.ahk.de.</p><p>The Delegation of German Industry and Commerce (AHK) in Saudi Arabia helps Mittelstand manufacturers and service providers localise offers, vet agents, and align proposals with Saudi procurement norms. Teams pair AHK briefings with technical conformity and logistics advisors when shipments or factory investments are on the critical path.</p>","AHK Saudi Arabia: German Chamber desk for market entry, legal/tax orientation, and delegation programmes—saudiarabien.ahk.de. The Delegation of German Industry and Commerce (AHK) in Saudi Arabia helps Mittelstand manufacturers and service providers localise offers, vet agents, and align proposals with Saudi procurement","AHK Saudi Arabia: German Chamber desk for market entry, legal/tax orientation, and delegation programmes—saudiarabien.ahk.de.",Germany,trade_association,"The Delegation of German Industry and Commerce (AHK) in Saudi Arabia helps Mittelstand manufacturers and service providers localise offers, vet agents, and align proposals with Saudi procurement",https://saudiarabien.ahk.de,"AHK Saudi Arabia",8,0,"{""title"":""AHK Saudi Arabia: German Chamber liaison office & market services"",""description"":""How the German Chamber in Saudi Arabia supports bilateral trade, delegations, and practical market entry for German companies."",""keywords"":""AHK Saudi Arabia, German Chamber Saudi Arabia, saudiarabien.ahk.de, Germany Saudi trade""}",,,/chambers/saudi-german-liaison-office-for-economic-affairs
"UAE-Saudi Business Council",1,en,,"<p><strong>UAE-Saudi Business Council</strong>. UAE–Saudi council: GCC corridor trade, family-business networks, and cross-border investment dialogue.</p><p>The UAE–Saudi Business Council focuses on logistics, retail, construction, and family-office capital moving across the GCC. Operators use it to align banking, group structuring, and visa mobility strategies with peers navigating parallel reforms in both markets.</p>","UAE–Saudi council: GCC corridor trade, family-business networks, and cross-border investment dialogue. The UAE–Saudi Business Council focuses on logistics, retail, construction, and family-office capital moving across the GCC. Operators use it to align banking, group structuring, and visa mobility","UAE–Saudi council: GCC corridor trade, family-business networks, and cross-border investment dialogue.",UAE,business_council,"The UAE–Saudi Business Council focuses on logistics, retail, construction, and family-office capital moving across the GCC. Operators use it to align banking, group structuring, and visa mobility",https://www.uaesaudibusinesscouncil.org,uaesaudibusinesscouncil.org,9,0,"{""title"":""UAE-Saudi Business Council: GCC trade & investment"",""description"":""Council supporting UAE–Saudi commercial ties, sector committees, and practical networking for cross-border operators."",""keywords"":""UAE Saudi Business Council, GCC trade UAE Saudi, uaesaudibusinesscouncil""}",,,/chambers/uae-saudi-business-council
"Bahrain Saudi Business Council",1,en,,"<p><strong>Bahrain Saudi Business Council</strong>. Bahrain–Saudi council: Causeway logistics, manufacturing joint ventures, and financial-services corridor ties.</p><p>The Bahrain Saudi Business Council helps firms leverage proximity across the King Fahd Causeway for light manufacturing, distribution, and fintech experiments. Members coordinate on customs documentation discipline and cross-border payroll models that remain sensitive to rule changes.</p>","Bahrain–Saudi council: Causeway logistics, manufacturing joint ventures, and financial-services corridor ties. The Bahrain Saudi Business Council helps firms leverage proximity across the King Fahd Causeway for light manufacturing, distribution, and fintech experiments. Members coordinate on customs","Bahrain–Saudi council: Causeway logistics, manufacturing joint ventures, and financial-services corridor ties.",Bahrain,business_council,"The Bahrain Saudi Business Council helps firms leverage proximity across the King Fahd Causeway for light manufacturing, distribution, and fintech experiments. Members coordinate on customs",https://www.bahrainsaudi.org,bahrainsaudi.org,10,0,"{""title"":""Bahrain Saudi Business Council: Causeway trade & investment"",""description"":""Bilateral council for Bahraini and Saudi companies: logistics, manufacturing, and financial corridor opportunities."",""keywords"":""Bahrain Saudi Business Council, Causeway trade, Bahrain Saudi investment""}",,,/chambers/bahrain-saudi-business-council
