nid,service_duration,provided_languages,service_channels
542,Typically 2–6 weeks depending on MISA review and document completeness.,Arabic and English,Ministry of Investment self-service portal; coordinated support with CR-linked government systems.
498,Usually 1–3 weeks once employee acceptance and Qiwa requirements are complete.,Arabic and English,Qiwa digital workflow with integrated government updates.
497,Often a few business days after documents are validated.,Arabic and English,National Address e-services linked to the CR; bilingual agreements.
496,Priced and scheduled per service agreement.,Arabic and English,On-site reception desk plus digital call and mail tracking for your team.
495,Lead time depends on event scale (commonly several weeks).,Arabic and English; interpretation available,"Dedicated events team, site planning, and on-site delivery."
494,From same-day booking to advance reservations.,Arabic and English,Website booking and on-site meeting support.
493,Subject to unit availability; contract start as agreed.,Arabic and English,Digital booking platform with National Address linkage support.
492,Aligned with your payroll file submission window.,Arabic and English,Mudad WPS compliance upload (TXT) and automated validation.
491,Typically 1–3 business days after bank validation.,Arabic and English,Mudad payroll system integrated with Saudi banking channels.
490,A few business days once qualifications and approvals align.,Arabic and English,Qiwa occupation change workflow.
489,Per permit cycle (issuance/renewal as required).,Arabic and English,Qiwa with MHRSD payments and integrated status tracking.
488,On demand or scheduled reporting cadence.,Arabic and English,Mudad compliance system with near real-time status updates.
487,"Same-day path when eligibility, balance, and Nitaqat criteria are met.",Arabic and English,Qiwa instant visa issuance after fees and checks.
486,Per payroll period.,Arabic and English,Mudad payroll system with bank transfer linkage.
485,Several weeks including legal drafting and ministry review.,Arabic and English,Qiwa submission under certified legal supervision.
484,Same day in most standard cases.,Arabic and English,Muqeem digital updates synced to passport records.
483,Immediate generation after portal query.,Arabic and English,Muqeem establishment reporting dashboard.
482,Same day once contract terms are finalised in Qiwa.,Arabic and English,Qiwa contract documentation with GOSI linkage.
481,Few business days after Qiwa approval and Muqeem steps.,Arabic and English,Muqeem sponsorship transfer workflow.
480,Few business days once customs data is validated.,Arabic and English,Fasah digital customs linkage with CR data.
479,Typically same day to a few business days.,Arabic and English,Muqeem digital requests tied to establishment records.
478,Few business days for standard digital filings.,Arabic and English,Saudi Business Center and Fasah (customs) platforms.
477,Same day to a few business days depending on case.,Arabic and English,Muqeem with Absher Business integration.
476,From single-site days to multi-site programmes (scoped in advance).,Arabic and English,On-site stock counts plus ERP/accounting reconciliation sessions.
475,Quarterly to annual programmes depending on scope.,Arabic and English,On-site and remote internal audit work with management workshops.
474,Fixed per agreed audit timetable.,Arabic and English,"Independent fieldwork, secure data room, and management reporting."
473,Aligned with the annual Zakat cycle and ZATCA deadlines.,Arabic and English,ZATCA portal filings plus advisory calls or workshops.
472,Annual compliance cycle with ad hoc advisory as needed.,Arabic and English,"ZATCA filings, modelling sessions, and management updates."
470,Monthly and annual WHT cycles per ZATCA rules.,Arabic and English,ZATCA channels with secure client documentation workflow.
469,Several weeks including final return and deregistration steps.,Arabic and English,ZATCA portal end-to-end.
468,Follows ZATCA refund processing timelines.,Arabic and English,ZATCA refund claims with structured evidence packs.
467,Per VAT return period (KSA filing calendar).,Arabic and English,"ZATCA portal preparation, review, and submission."
466,Typically 1–3 weeks from readiness to TRN activation.,Arabic and English,ZATCA registration workflow and advisory checkpoints.
465,Project or retainer-based.,Arabic and English,"Workshops, calls, and secure document review."
464,Commonly 2–6 weeks depending on scope.,Arabic and English,Remote file review plus targeted management sessions.
463,Depends on backlog size; planned in milestones.,Arabic and English,"Secure file exchange, working sessions, and accounting-system access."
462,Often same day to a few business days.,Arabic and English (per GOSI output),GOSI Business portal with Qiwa-aligned data checks.
460,Typically same day to a few business days.,Arabic official output; bilingual explanation,Qiwa digital issuance supervised with GOSI data integration.
458,Subject to GOSI instalment approval timing.,Arabic and English,GOSI electronic instalment request and e-agreement.
456,Several weeks depending on MOC review and notarisations.,Arabic and English,Ministry of Commerce electronic services and authenticated filings.
454,Often completed within a few business days.,Arabic and English,SPL National Address platform with CR sync.
453,Monthly payroll cycle / ongoing engagement.,Arabic and English,"Secure payroll operations, reporting, and optional on-site support."
