nid,type,section,langcode,title,from_path,to_path
501,article,blog,ar,إزالة ملاحظة حماية الأجور,/ar/إزالة-ملاحظة-حماية-الأجور,/ar/blog/إزالة-ملاحظة-حماية-الأجور
241,article,blog,ar,إعداد مشروع تجاري في السعودية بسهولة حسب القوانين المحلية,/ar/إعداد-مشروع-تجاري-في-السعودية,/ar/blog/إعداد-مشروع-تجاري-في-السعودية
242,article,blog,ar,ابدأ مشروعك الآن - خطوات إنشاء شركة في السعودية بشكل قانوني,/ar/إنشاء-شركة-في-السعودية,/ar/blog/إنشاء-شركة-في-السعودية
196,article,blog,ar,الإقامة ورخص العمل في السعودية 2026 | دليل السيادة والامتثال المالي - متعدد,/ar/تكاليف-الإقامة-ورخص-العمل-في-السعودية-سيادة-الامتثال-والتطور-الإجرائي,/ar/blog/تكاليف-الإقامة-ورخص-العمل-في-السعودية-سيادة-الامتثال-والتطور-الإجرائي
530,article,blog,ar,الاتجاهات المستقبلية في ممارسات المسؤولية المؤسسية,/ar/الاتجاهات-المستقبلية-في-ممارسات-المسؤولية-المؤسسية,/ar/blog/الاتجاهات-المستقبلية-في-ممارسات-المسؤولية-المؤسسية
402,article,blog,ar,الاعتماد المهني في السعودية,/ar/برنامج-الاعتماد-المهني,/ar/blog/برنامج-الاعتماد-المهني
635,article,blog,ar,التراخيص والمدن الصناعية في السعودية 2026 | إلغاء المقابل المالي - متعدد,/ar/التراخيص-والمدن-الصناعية-في-السعودية-إلغاء-المقابل-المالي-متعدد,/ar/blog/التراخيص-والمدن-الصناعية-في-السعودية-إلغاء-المقابل-المالي-متعدد
226,article,blog,ar,الحصول على ترخيص بدء العمل في السعودية,/ar/الحصول-على-ترخيص-بدء-العمل-في-السعودية,/ar/blog/الحصول-على-ترخيص-بدء-العمل-في-السعودية
149,article,blog,ar,الحياة في المملكة العربية السعودية,/ar/Life-in-Saudi-Arabia,/ar/blog/Life-in-Saudi-Arabia
642,article,blog,ar,الخارطة التنفيذية للاستثمار: دليل تأسيس الأعمال في السعودية 2026,/ar/دليل-تأسيس-الأعمال-في-السعودية,/ar/blog/دليل-تأسيس-الأعمال-في-السعودية
539,article,blog,ar,"الدليل الشامل للمركز السعودي للأعمال (SBC) 2026: خارطة طريق الاستثمار وتأسيس الشركات برعاية ""متعدد المحدودة""",/ar/الدليل-الشامل-للمركز-السعودي-للأعمال,/ar/blog/الدليل-الشامل-للمركز-السعودي-للأعمال
132,article,blog,ar,الضرائب في السعودية 2026 | دليل السيادة الضريبية والزكاة - متعدد,/ar/الضرائب-في-السعودية-سيادة-الامتثال-والزكاة,/ar/blog/الضرائب-في-السعودية-سيادة-الامتثال-والزكاة
186,article,blog,ar,العنوان الوطني السعودي (سبل) 2026 | دليل السيادة المكانية والامتثال - متعدد,/ar/العنوان-الوطني-السعودي-سيادة-المكان-والتطور-اللوجستي,/ar/blog/العنوان-الوطني-السعودي-سيادة-المكان-والتطور-اللوجستي
127,article,blog,ar,الموارد البشرية في السعودية 2026 | دليل السيادة الإجرائية والتحول الرقمي - متعدد,/ar/دليل-الموارد-البشرية-في-السعودية-السيادة-الإجرائية-2026,/ar/blog/دليل-الموارد-البشرية-في-السعودية-السيادة-الإجرائية-2026
224,article,blog,ar,بدء النشاط التجاري في السعودية,/ar/بدء-النشاط-التجاري-في-السعودية,/ar/blog/بدء-النشاط-التجاري-في-السعودية
499,article,blog,ar,بنك التصدير والاستيراد السعودي,/ar/بنك-التصدير-والاستيراد-السعودي,/ar/blog/بنك-التصدير-والاستيراد-السعودي
641,article,blog,ar,بوابة السيادة الاقتصادية: الدليل الموسوعي لفتح الأعمال في السعودية 2026,/ar/business-open-in-saudi-arabia-sovereign-guide,/ar/blog/business-open-in-saudi-arabia-sovereign-guide
267,article,blog,ar,تأسيس فرع شركة أجنبية في السعودية 2026 | دليل السيادة الإجرائية - متعدد,/ar/تأسيس-فرع-شركة-أجنبية-في-السعودية-دليل-السيادة-الإجرائية,/ar/blog/تأسيس-فرع-شركة-أجنبية-في-السعودية-دليل-السيادة-الإجرائية
643,article,blog,ar,تأسيس فرع شركة أجنبية في السعودية 2026 | دليل الفروع - متعدد,/ar/تأسيس-فرع-شركة-أجنبية-في-السعودية-2026-دليل-سيادي,/ar/blog/تأسيس-فرع-شركة-أجنبية-في-السعودية-2026-دليل-سيادي
524,article,blog,ar,تراخيص الاستثمار,/ar/تراخيص-الاستثمار,/ar/blog/تراخيص-الاستثمار
7,article,blog,ar,تراخيص الاستثمار والأعمال في السعودية 2026 | الأطروحة الشاملة - متعدد,/ar/الدليل-الموسوعي-لتراخيص-الأعمال-السيادة-الاستثمارية,/ar/blog/الدليل-الموسوعي-لتراخيص-الأعمال-السيادة-الاستثمارية
