title,field_summary,body,field_how_we_help,field_official_link,field_platform_category
MISA (Ministry of Investment Saudi Arabia),Foreign investment licensing platform,MISA issues licenses required for foreign companies to operate in Saudi Arabia.,"We assist with licensing, documentation, and approvals.",https://investsaudi.sa,Licensing
Qiwa,Labor and workforce platform,Qiwa manages employment contracts and Saudization compliance.,We help manage contracts and compliance.,https://www.qiwa.sa,Labor
ZATCA,Tax and VAT platform,"ZATCA handles VAT, zakat, and e-invoicing compliance.",We assist with tax registration and compliance.,https://zatca.gov.sa,Tax
Balady,Municipality services platform,Balady manages licenses and business activity approvals.,We assist with municipal licensing and approvals.,https://balady.gov.sa,Operations
Mudad,Payroll and wage protection system,Mudad ensures payroll compliance with WPS.,We help implement payroll systems.,https://mudad.com.sa,Labor
Etimad,Government procurement platform,Etimad manages public tenders and contracts.,We assist with tender registration and submissions.,https://etimad.sa,Finance
Saudi Business Center (Meras),Unified business setup platform,Meras integrates multiple services for company registration.,We manage company setup processes.,https://business.sa,Licensing
Taqat,Employment platform,Taqat connects employers with job seekers.,We support hiring and Saudization compliance.,https://taqat.sa,Labor
FASAH,Customs clearance platform,FASAH manages import/export operations.,We assist with customs compliance.,https://fasah.sa,Logistics
SABER,Product certification platform,SABER ensures product compliance with Saudi standards.,We assist with certification processes.,https://saber.sa,Logistics
Najiz,Legal services platform,Najiz provides legal and court-related services.,We assist with legal compliance.,https://najiz.sa,Legal
Sejel Tijari,Commercial registration system,Platform for registering and managing businesses.,We handle company registration.,https://mc.gov.sa,Licensing
