nid,type,langcode,title,body_summary,categories,tags,beneficiaries,meta_title,meta_description,meta_abstract,meta_keywords,missing_body_summary,missing_categories,missing_tags,missing_beneficiaries,missing_meta_title,missing_meta_description,missing_meta_abstract,missing_meta_keywords,status
7,article,ar,تراخيص الاستثمار والأعمال في السعودية 2026 | الأطروحة الشاملة - متعدد,"أنواع التراخيص التجارية في المملكة العربية السعودية: ما تحتاج إلى معرفته

إذا كنت تفكر في إنشاء شركة في المملكة العربية السعودية، فإن إحدى الخطوات الأولى هي تحديد نوع الترخيص التجاري المناسب . فيما يلي دليل موجز للتراخيص المختلفة التي قد تحتاجها لتأسيس شركة في المملكة العربية السعودية:",دعم الأعمال,تراخيص الاستثمار | تأسيس الأعمال | دخول السوق,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
8,article,ar,ما هي نيوم؟,"نيوم، جوهرة التاج لرؤية المملكة العربية السعودية 2030، هو مشروع ضخم رائد مصمم لوضع المملكة في طليعة الابتكار التكنولوجي، والاستدامة، والتحول الاقتصادي. تمتد نيوم على مساحة تزيد عن 26,500 كيلومتر مربع، وهي أكثر من مجرد مدينة ذكية - إنها رؤية للمستقبل. يقع هذا المشروع في شمال غرب المملكة العربية السعودية، ومن المتوقع أن يعيد تعريف الأعمال والتجارة والسياحة العالمية، مما يجعله أحد أكثر الوجهات إثارة لتسجيل الأعمال التجارية الأجنبية والاستثمار في العالم.",دعم الأعمال,نيوم | الاستثمار الاستراتيجي | تأسيس الشركات,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
9,article,ar,رؤية 2030,,دعم الأعمال,رؤية 2030 | التحول الاقتصادي | الفرص الاستثمارية,أصحاب الشركات | الشركات المحلية والدولية | فرق المالية والرواتب,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
110,article,ar,لماذا الاستثمار في السعودية؟ دليل موجز للمستثمرين الأجانب,,دعم الأعمال,الاستثمار في السعودية | فرص السوق | استراتيجية المستثمر,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
119,article,ar,سجل شركتك في المملكة العربية السعودية,"السعودية في 2024 – رقم مذهل يحكي قصة مذهلة. ونمت الاستثمارات العامة بنسبة 79% عن العام الماضي، حيث تم إصدار 121 ألف سجل تجاري في السعودية خلال الربع الثاني وحده، ليصل إجمالي عدد السجلات التجارية إلى أكثر من 1,518,000 سجل تجاري في جميع مناطق المملكة.",دعم الأعمال,تسجيل الشركات | السجل التجاري | الامتثال التنظيمي,أصحاب الشركات | فرق الامتثال والشؤون القانونية | فرق العلاقات الحكومية والتعقيب,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
126,article,ar,نظرة عامة على عملية تأسيس الشركة في المملكة العربية السعودية,"إن بدء مشروع تجاري هو رحلة مثيرة. إنه طريق مليء بالفرص والتحديات والمكافآت.

إحدى الخطوات الحاسمة في هذه الرحلة هي عملية تأسيس الشركة. إنه الإجراء القانوني لتأسيس كيان تجاري.",دعم الأعمال,تأسيس الشركات | ترخيص الاستثمار | الهيكلة القانونية,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
127,article,ar,الموارد البشرية في السعودية 2026 | دليل السيادة الإجرائية والتحول الرقمي - متعدد,في مـتعدد نؤمن بأن نجاح أي مؤسسة يبدأ من إدارة مواردها البشرية بفعالية واحترافية. لذلك، نقدم حلولًا شاملة تدعم أهدافكم التشغيلية والاستراتيجية، مع التركيز على تحقيق التوازن المثالي بين الكفاءة والجودة. نعمل خلف الكواليس لتبسيط التعقيدات الإدارية وتوفير الوقت والجهد،,الموارد البشرية,إطار الموارد البشرية | امتثال القوى العاملة | تشغيل التوظيف,فرق الموارد البشرية والقوى العاملة | أصحاب الشركات | فرق العلاقات الحكومية والتعقيب,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
132,article,ar,الضرائب في السعودية 2026 | دليل السيادة الضريبية والزكاة - متعدد,تطورت الضرائب في المملكة العربية السعودية إلى نظام شامل، حيث يتم تطبيق ضريبة القيمة المضافة الآن في أكثر من 160 دولة حول العالم. وكجزء من الإصلاحات الاقتصادية الأوسع في المملكة العربية السعودية، يجمع المشهد الضريبي السعودي بين السياسات المالية الحديثة والالتزامات الدينية التقليدية.,خدمات محاسبية,الضرائب والزكاة | الامتثال الضريبي | التخطيط المالي,فرق المالية والرواتب | فرق الامتثال والشؤون القانونية | أصحاب الشركات,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
133,article,ar,قفزة 2025,هل أنت مستعد للغوص في مستقبل التكنولوجيا والأعمال في المملكة العربية السعودية؟ من المقرر أن يفتح LEAP 2025، الحدث التكنولوجي الحائز على جوائز في المملكة العربية السعودية، آفاقًا جديدة في نسخته الرابعة. يعد هذا المشهد التكنولوجي العالمي بفرص لا مثيل لها للشركات العالمية للتواصل والابتكار وتوسيع آفاقها.,دعم الأعمال,مؤتمر ليب | التقنية والابتكار | الاستثمار التقني,أصحاب الشركات | الشركات المحلية والدولية | فرق الموارد البشرية والقوى العاملة,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
135,article,ar,شهادة السعودة ونطاقات,كانت شهادة نطاقات في المملكة العربية السعودية بمثابة شريان الحياة للتحول الطموح في القوى العاملة في البلاد منذ عام 2011. وقد ساعدت هذه المبادرة على زيادة عدد المواطنين السعوديين في القطاع الخاص إلى 2.34 مليون بحلول يونيو 2023. ويظهر تأميم القوى العاملة تقدمًا ملحوظًا، وقفزت مشاركة المرأة من 17% إلى 35.3% بين عامي 2016 و2023. وقد تجاوزت هذه الإنجازات هدف رؤية 2030 المتمثل في 30%.,خدمات العلاقات الحكومية,السعودة ونطاقات | الامتثال العمالي | متطلبات التوطين,فرق العلاقات الحكومية والتعقيب | فرق الموارد البشرية والقوى العاملة | أصحاب الشركات,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
136,article,ar,تعزيز تجربة الموظف من خلال خدمات الموارد البشرية,في بيئة الأعمال التنافسية اليوم، أصبحت تجربة الموظف عاملاً حاسماً في الحفاظ على المواهب ودفع النجاح التنظيمي. وتلعب خدمات الموارد البشرية الفعالة دورًا محوريًا في إدارة هذه التجربة. بدءًا من التوظيف وحتى الامتثال، ومن إدارة المزايا إلى العلاقات الحكومية، تضمن خدمات الموارد البشرية الشاملة حصول الموظفين على الدعم الجيد والمشاركة.,الموارد البشرية,تجربة الموظف | خدمات الموارد البشرية | إدارة المواهب,فرق الموارد البشرية والقوى العاملة | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
138,article,ar,كأس العالم 2034,,دعم الأعمال,كأس العالم 2034 | الأثر الاقتصادي | المشاريع الوطنية,أصحاب الشركات | الشركات المحلية والدولية | فرق المالية والرواتب,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
149,article,ar,الحياة في المملكة العربية السعودية,,الإقامة والتأشيرات,الحياة في السعودية | الانتقال والإقامة | دليل المقيمين,فرق الموارد البشرية والقوى العاملة | أصحاب الشركات | الشركات المحلية والدولية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
156,article,ar,نشاط المقاولات والإنشاءات في السعودية 2026 | دليل السيادة الإنشائية والاستثمار - متعدد,,دعم الأعمال,قطاع المقاولات | التطوير العمراني | فرص الاستثمار,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
172,article,ar,قوانين المملكة العربية السعودية,,دعم الأعمال,قوانين السعودية | الإطار التشريعي | سياسات الاستثمار,فرق الامتثال والشؤون القانونية | أصحاب الشركات | الشركات المحلية والدولية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
186,article,ar,العنوان الوطني السعودي (سبل) 2026 | دليل السيادة المكانية والامتثال - متعدد,,خدمات العلاقات الحكومية,العنوان الوطني سبل | الامتثال المؤسسي | الهوية الرقمية,فرق العلاقات الحكومية والتعقيب | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
