Please replace those links.,With those links
https://motaded.com.sa/ar/blog/vision-2030,https://motaded.com.sa/ar/blog/%D8%B1%D8%A4%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-2030
https://motaded.com.sa/zh-hans/en/services/business-setup,https://motaded.com.sa/zh-hans/services/business-setup
https://motaded.com.sa/ar/services/consultation-services,https://motaded.com.sa/ar/services/%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A%D8%A9
https://motaded.com.sa/ar/blog/services/business-setup,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/ar/en/services/business-setup,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/ar/blog/type-license,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/zh-hans/blog/hr-services,https://motaded.com.sa/zh-hans/services/hr-services
https://motaded.com.sa/zh-hans/blog/business-setup,https://motaded.com.sa/zh-hans/services/business-setup
https://motaded.com.sa/ar/services/coworking-spaces,https://motaded.com.sa/services/coworking-spaces
https://motaded.com.sa/motaded.com.sa/blog/business-visa-in-saudi-arabia-comprehensive-guide,https://motaded.com.sa/blog/Residency-in-Saudi-Arabia
https://motaded.com.sa/ar/services/hr-services,https://motaded.com.sa/ar/services/%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B1%D8%AF-%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9
https://motaded.com.sa/en/services/business-setup,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/blog/Subsidiary-Companies-in-Saudi-Arabia,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/blog/type-license,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/blog/open-a-company-in-Saudi-Arabia,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/blog/about-General-Organization-for-Social-Insurance-in-Saudi-Arabia,https://motaded.com.sa/blog/gosi-certificate
https://motaded.com.sa/blog/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia,https://motaded.com.sa/services/business-setup
https://motaded.com.sa/blog/Taxes-in-Saudi-Arabia,https://motaded.com.sa/blog/tax-system-saudi-arabia-wht-vat-cit-guide
