entity_type,entity_id,langcode,bundle,title,table,column,count,old_paths,new_paths
block_content,5,en,,,block_content__body,body_value,1,/business-setup,/services/business-setup
block_content,5,zh-hans,,,block_content__body,body_value,2,/business-setup | /zh-hans/business-setup,/services/business-setup | /zh-hans/services/business-setup
block_content,6,en,,,block_content__body,body_value,5,/business-setup | /free-zones-ksa | /premium-residency-saudi-arabia | /rhq-license-mena-license | /vision-2030,/services/business-setup | /services/free-zones-ksa | /services/premium-residency-saudi-arabia | /services/rhq-license-mena-license | /blog/vision-2030
block_content,6,zh-hans,,,block_content__body,body_value,10,/business-setup | /free-zones-ksa | /premium-residency-saudi-arabia | /rhq-license-mena-license | /vision-2030 | /zh-hans/business-setup | /zh-hans/free-zones-ksa | /zh-hans/premium-residency-saudi-arabia | /zh-hans/rhq-license-mena-license | /zh-hans/vision-2030,/services/business-setup | /services/free-zones-ksa | /services/premium-residency-saudi-arabia | /services/rhq-license-mena-license | /blog/vision-2030 | /zh-hans/services/business-setup | /zh-hans/services/free-zones-ksa | /zh-hans/services/premium-residency-saudi-arabia | /zh-hans/services/rhq-license-mena-license | /zh-hans/blog/vision-2030
block_content,8,ar,,,block_content__body,body_value,4,/ar/business-setup | /business-setup | /hr-services | /pro-gro-services-streamline-your-saudi-business-setup,/ar/blog/business-setup | /services/business-setup | /services/hr-services | /services/pro-gro-services-streamline-your-saudi-business-setup
block_content,20,ar,,,block_content__body,body_value,3,/ar/legal-policy | /ar/privacy-policy | /privacy-policy,/ar/services/legal-policy | /ar/services/privacy-policy | /services/privacy-policy
block_content,20,en,,,block_content__body,body_value,2,/legal-policy | /privacy-policy,/services/legal-policy | /services/privacy-policy
node,1,en,page,Business Setup in Saudi Arabia 2026 | Sovereign Setup Services - Motaded,node__body,body_value,1,/Ministry-of-Investment-in-Saudi-Arabia,/blog/Ministry-of-Investment-in-Saudi-Arabia
node,1,zh-hans,page,在沙特阿拉伯设立业务,node__body,body_value,2,/business-setup | /zh-hans/business-setup,/services/business-setup | /zh-hans/services/business-setup
node,8,zh-hans,article,什么是 NEOM？,node__body,body_value,6,/business-setup | /vision-2030 | /what-neom | /zh-hans/business-setup | /zh-hans/vision-2030 | /zh-hans/what-neom,/services/business-setup | /blog/vision-2030 | /blog/what-neom | /zh-hans/services/business-setup | /zh-hans/blog/vision-2030 | /zh-hans/blog/what-neom
node,9,ar,article,رؤية السعودية 2030,node__body,body_value,3,/business-setup | /free-zones-ksa | /vision-2030,/services/business-setup | /services/free-zones-ksa | /blog/vision-2030
node,9,en,article,"Saudi Vision 2030 in 2026 | Transformation, Achievements & Economic Sovereignty - Motaded",node__body,body_value,23,/MISA-Investment-License | /Ministry-of-Commerce-in-Saudi-Arabia | /Ministry-of-Investment-in-Saudi-Arabia | /Regional-Headquarters-in-Saudi-Arabia | /Saudi-Corporate-Compliance-Services | /Steps-for-Business-Setup-in-KSA | /The-Comprehensive-Guide-to-Saudi-Business-Center | /ZATCA | /about-Qiwa-Platform | /establishing-a-company-in-saudi-arabia-comprehensive-guide | /facilitating-sovereign-financial-procedures-saudi-arabia-guide | /freedom-of-ownership-in-saudi-arabia-investors-guide | /home | /industrial-cities-saudi-arabia-comprehensive-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /market-entry-strategy-in-KSA | /open-branch-company-saudi-arabia-comprehensive-guide | /opening-bank-account-saudi-arabia-investors-guide-2026 | /professional-staff-saudi-arabia-management-guide | /rhq-formation-saudi-arabia-comprehensive-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/MISA-Investment-License | /blog/Ministry-of-Commerce-in-Saudi-Arabia | /blog/Ministry-of-Investment-in-Saudi-Arabia | /blog/Regional-Headquarters-in-Saudi-Arabia | /blog/Saudi-Corporate-Compliance-Services | /blog/Steps-for-Business-Setup-in-KSA | /blog/The-Comprehensive-Guide-to-Saudi-Business-Center | /blog/ZATCA | /blog/about-Qiwa-Platform | /blog/establishing-a-company-in-saudi-arabia-comprehensive-guide | /blog/facilitating-sovereign-financial-procedures-saudi-arabia-guide | /blog/freedom-of-ownership-in-saudi-arabia-investors-guide | /services/home | /blog/industrial-cities-saudi-arabia-comprehensive-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/market-entry-strategy-in-KSA | /blog/open-branch-company-saudi-arabia-comprehensive-guide | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/professional-staff-saudi-arabia-management-guide | /blog/rhq-formation-saudi-arabia-comprehensive-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,9,zh-hans,article,2030年愿景,node__body,body_value,6,/business-setup | /type-license | /vision-2030 | /zh-hans/business-setup | /zh-hans/type-license | /zh-hans/vision-2030,/services/business-setup | /blog/type-license | /blog/vision-2030 | /zh-hans/services/business-setup | /zh-hans/blog/type-license | /zh-hans/blog/vision-2030
node,65,ar,page,المناطق الحرة في السعودية,node__body,body_value,2,/ar/free-zones-ksa | /free-zones-ksa,/ar/services/free-zones-ksa | /services/free-zones-ksa
node,65,en,page,Free Zones in KSA,node__body,body_value,1,/free-zones-ksa,/services/free-zones-ksa
node,65,zh-hans,page,沙特阿拉伯的自由区,node__body,body_value,4,/free-zones-ksa | /vision-2030 | /zh-hans/free-zones-ksa | /zh-hans/vision-2030,/services/free-zones-ksa | /blog/vision-2030 | /zh-hans/services/free-zones-ksa | /zh-hans/blog/vision-2030
node,70,ar,page,لماذا الاستثمار في السعودية؟ دليل موجز للمستثمرين الأجانب,node__body,body_value,2,/ar/business-setup | /business-setup,/ar/blog/business-setup | /services/business-setup
node,70,en,page,Why Invest in Saudi Arabia? A Concise Guide for Foreign Investors,node__body,body_value,3,/business-setup | /vision-2030 | /what-neom,/services/business-setup | /blog/vision-2030 | /blog/what-neom
node,70,zh-hans,page,为何投资沙特阿拉伯？外国投资者简明指南,node__body,body_value,6,/business-setup | /vision-2030 | /what-neom | /zh-hans/business-setup | /zh-hans/vision-2030 | /zh-hans/what-neom,/services/business-setup | /blog/vision-2030 | /blog/what-neom | /zh-hans/services/business-setup | /zh-hans/blog/vision-2030 | /zh-hans/blog/what-neom
node,71,ar,page,من نحن,node__body,body_value,4,/ar/business-setup | /ar/pro-gro-services-streamline-your-saudi-business-setup | /business-setup | /consultation-services,/ar/blog/business-setup | /ar/services/pro-gro-services-streamline-your-saudi-business-setup | /services/business-setup | /services/consultation-services
node,71,en,page,Who We Are,node__body,body_value,3,/business-setup | /pro-gro-services-streamline-your-saudi-business-setup | /vision-2030,/services/business-setup | /services/pro-gro-services-streamline-your-saudi-business-setup | /blog/vision-2030
node,71,zh-hans,page,我们是谁,node__body,body_value,4,/business-setup | /vision-2030 | /zh-hans/business-setup | /zh-hans/pro-gro-services-streamline-your-saudi-business-setup,/services/business-setup | /blog/vision-2030 | /zh-hans/services/business-setup | /zh-hans/services/pro-gro-services-streamline-your-saudi-business-setup
node,83,ar,page,ترخيص المقرات الاقليمية (ترخيص منطقة الشرق الأوسط وشمال أفريقيا),node__body,body_value,4,/ar/business-setup | /ar/rhq-license-mena-license | /business-setup | /rhq-license-mena-license,/ar/blog/business-setup | /ar/services/rhq-license-mena-license | /services/business-setup | /services/rhq-license-mena-license
node,83,en,page,Regional Headquarters License in Saudi Arabia RHQ 2026 | Sovereign Leadership Guide - Motaded,node__body,body_value,13,/Regional-Headquarters-in-Saudi-Arabia | /ZATCA | /calculating-setup-and-renewal-costs-saudi-arabia-encyclopedia | /company-registration-in-saudi-arabia | /company-registration-in-saudi-arabia-comprehensive-guide | /establishing-a-company-in-saudi-arabia-comprehensive-guide | /facilitating-sovereign-financial-procedures-saudi-arabia-guide | /freedom-of-ownership-in-saudi-arabia-investors-guide | /market-entry-strategy-in-KSA | /opening-bank-account-saudi-arabia-investors-guide-2026 | /saudi-arabia-rhq-incentives-requirements-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide,/blog/Regional-Headquarters-in-Saudi-Arabia | /blog/ZATCA | /blog/calculating-setup-and-renewal-costs-saudi-arabia-encyclopedia | /blog/company-registration-in-saudi-arabia | /blog/company-registration-in-saudi-arabia-comprehensive-guide | /blog/establishing-a-company-in-saudi-arabia-comprehensive-guide | /blog/facilitating-sovereign-financial-procedures-saudi-arabia-guide | /blog/freedom-of-ownership-in-saudi-arabia-investors-guide | /blog/market-entry-strategy-in-KSA | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/saudi-arabia-rhq-incentives-requirements-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide
node,83,zh-hans,page,地区总部许可证（中东和北非许可证）,node__body,body_value,3,/business-setup | /rhq-license-mena-license | /zh-hans/rhq-license-mena-license,/services/business-setup | /services/rhq-license-mena-license | /zh-hans/services/rhq-license-mena-license
node,91,ar,page,مساحات العمل المشترك,node__body,body_value,2,/business-setup | /coworking-spaces,/services/business-setup | /services/coworking-spaces
node,91,en,page,Coworking Spaces,node__body,body_value,1,/coworking-spaces,/services/coworking-spaces
node,91,zh-hans,page,联合办公空间,node__body,body_value,3,/business-setup | /zh-hans/business-setup | /zh-hans/coworking-spaces,/services/business-setup | /zh-hans/services/business-setup | /zh-hans/services/coworking-spaces
node,92,ar,page,حاضنات الأعمال,node__body,body_value,1,/business-setup,/services/business-setup
node,92,en,page,Business Incubators,node__body,body_value,1,/business-setup,/services/business-setup
node,92,zh-hans,page,企业孵化器,node__body,body_value,2,/business-setup | /zh-hans/business-setup,/services/business-setup | /zh-hans/services/business-setup
node,94,ar,page,خدمات العلاقات العامة في السعودية و العلاقات الحكومية في السعودية,node__body,body_value,1,/ar/pro-gro-services-streamline-your-saudi-business-setup,/ar/services/pro-gro-services-streamline-your-saudi-business-setup
node,94,en,page,PRO & GRO Services in Saudi Arabia,node__body,body_value,2,/business-setup | /pro-gro-services-streamline-your-saudi-business-setup,/services/business-setup | /services/pro-gro-services-streamline-your-saudi-business-setup
node,94,zh-hans,page,沙特阿拉伯的 PRO & GRO 服务,node__body,body_value,3,/business-setup | /zh-hans/business-setup | /zh-hans/pro-gro-services-streamline-your-saudi-business-setup,/services/business-setup | /zh-hans/services/business-setup | /zh-hans/services/pro-gro-services-streamline-your-saudi-business-setup
