title,Prefix,Stat value,Suffix,Stat label,Category,Sector,Region,Year,Summary,Description,Key takeaways,Source name,Source link
Saudi Arabia GDP Growth (2023),+,8.7,%,GDP growth,Economy,General,Saudi Arabia,2023,Saudi Arabia recorded strong GDP growth driven by oil revenues and non-oil expansion.,Saudi Arabia achieved one of the highest GDP growth rates globally in 2023. The growth was supported by strong oil sector performance and continued expansion of non-oil sectors under Vision 2030.,"• Strong macroeconomic performance
• Growth supported by diversification strategy
• Attractive environment for investors",World Bank,https://data.worldbank.org/
Non-oil GDP Growth (2023),+,4.4,%,Non-oil GDP growth,Economy,General,Saudi Arabia,2023,Non-oil sectors are steadily expanding as part of diversification efforts.,"Saudi Arabia’s non-oil GDP continues to grow as the government invests heavily in tourism, logistics, technology, and manufacturing sectors.","• Diversification is progressing
• Growth beyond oil sector
• Strong government support",GASTAT,https://www.stats.gov.sa/
FDI Inflow (2022),SAR,95,B,Foreign Direct Investment inflow,Investment,General,Saudi Arabia,2022,Foreign investment is increasing as reforms improve the business environment.,Saudi Arabia is attracting increasing levels of foreign direct investment as regulatory reforms and economic transformation programs create new opportunities.,"• Improved investment climate
• Strong international interest
• Vision 2030 impact",UNCTAD,https://unctad.org/
Unemployment Rate (2023),,7.7,%,Unemployment rate,Labor,General,Saudi Arabia,2023,Labor market conditions are improving across the Kingdom.,"Saudi Arabia continues to reduce unemployment through job creation programs and economic reforms, improving labor market participation.","• Declining unemployment
• Job creation initiatives
• Growing workforce participation",GASTAT,https://www.stats.gov.sa/
Population (2023),,36,M,Total population,Demographics,General,Saudi Arabia,2023,Saudi Arabia has a large and growing population supporting market demand.,"With a population of over 36 million, Saudi Arabia represents a large consumer market with increasing demand across sectors.","• Large consumer base
• Growing demand
• Youth-driven economy",World Bank,https://data.worldbank.org/
Internet Penetration (2023),,98,%,Internet penetration rate,Technology,Technology,Saudi Arabia,2023,Saudi Arabia has one of the highest internet penetration rates globally.,"High internet penetration supports digital transformation, e-commerce growth, and technology adoption across industries.","• Digital-ready market
• High connectivity
• Strong tech adoption",DataReportal,https://datareportal.com/
E-commerce Market Size (2023),SAR,52,B,E-commerce market size,Technology,Technology,Saudi Arabia,2023,E-commerce continues to grow rapidly in Saudi Arabia.,Saudi Arabia’s e-commerce sector is expanding quickly due to digital adoption and consumer demand for online services.,"• Rapid digital growth
• Strong consumer demand
• Expanding online economy",Statista,https://www.statista.com/
Inflation Rate (2023),,2.3,%,Inflation rate,Economy,General,Saudi Arabia,2023,Inflation remains relatively stable compared to global averages.,Saudi Arabia maintains controlled inflation levels due to government policies and stable economic conditions.,"• Stable inflation
• Predictable economy
• Investor confidence",World Bank,https://data.worldbank.org/
Tourism Contribution to GDP (2023),,9,%,Tourism contribution to GDP,Tourism,Tourism,Saudi Arabia,2023,Tourism is becoming a key contributor to economic growth.,"Tourism is a strategic sector under Vision 2030, contributing significantly to GDP and attracting international visitors.","• Strategic sector growth
• Government investment
• International expansion",WTTC,https://wttc.org/
Oil Production (2023),,10,M bpd,Oil production,Energy,Energy,Saudi Arabia,2023,Saudi Arabia remains one of the world's largest oil producers.,Oil production continues to be a major contributor to Saudi Arabia’s economy and global energy markets.,"• Global energy leader
• Stable oil output
• Strategic influence",OPEC,https://www.opec.org/
