title,status,langcode,translation_source_title,body,body_summary,field_short_description,field_country_name,field_type,field_relationship_focus,field_external_link_uri,field_external_link_title,field_priority,field_featured,field_meta_tags_json,field_logo_mid,field_chamber_featured_stats_json,path_alias
"مجلس الغرف التجارية السعودية",1,ar,"Saudi Chambers","<p><strong>مجلس الغرف التجارية السعودية</strong>. اتحاد الغرف السعودية: صوت قطاع الأعمال، برامج للمؤسسات الصغيرة والمتوسطة، وربط بالغرف الإقليمية—ابدأ من saudichambers.sa.</p><p>ينسق مجلس الغرف التجارية السعودية شبكة الغرف الإقليمية، وينشر مواقف القطاعات، ويدير برامج تساعد الشركات على فهم التراخيص والمشتريات وسياسات القوى العاملة. استخدمه عندما تحتاج إلى رؤية وطنية قبل التعامل مع غرفة محددة في المدن للخدمات والفعاليات ومسارات فض النزاع.</p>","اتحاد الغرف السعودية: صوت قطاع الأعمال، برامج للمؤسسات الصغيرة والمتوسطة، وربط بالغرف الإقليمية—ابدأ من saudichambers.sa. ينسق مجلس الغرف التجارية السعودية شبكة الغرف الإقليمية، وينشر مواقف القطاعات، ويدير برامج تساعد الشركات على فهم التراخيص والمشتريات وسياسات القوى العاملة. استخدمه عندما تحتاج إلى رؤية وطنية قبل","اتحاد الغرف السعودية: صوت قطاع الأعمال، برامج للمؤسسات الصغيرة والمتوسطة، وربط بالغرف الإقليمية—ابدأ من saudichambers.sa.","Saudi Arabia",chamber_of_commerce,"ينسق مجلس الغرف التجارية السعودية شبكة الغرف الإقليمية، وينشر مواقف القطاعات، ويدير برامج تساعد الشركات على فهم التراخيص والمشتريات وسياسات القوى العاملة. استخدمه عندما تحتاج إلى رؤية وطنية قبل",https://www.saudichambers.sa,saudichambers.sa,1,1,"{""title"":""مجلس الغرف السعودية: اتحاد الغرف وسياسات الأعمال"",""description"":""دور مجلس الغرف التجارية السعودية وربطه بغرف الرياض وجدة والمنطقة الشرقية ومتى تستخدم الاتحاد الوطني مقابل الغرف المحلية."",""keywords"":""مجلس الغرف السعودية,غرف السعودية,اتحاد الغرف,CSC""}",,"[""تنسيق وطني للغرف الإقليمية"",""دعم سياسات وبرامج للمؤسسات الصغيرة"",""بوابة قبل خدمات الغرف المحلية""]",/chambers/saudi-chambers
"غرفة الرياض",1,ar,"Riyadh Chamber of Commerce","<p><strong>غرفة الرياض</strong>. غرفة الرياض: خدمات للأعمال، تدريب، وتمثيل لقطاع العاصمة—chamber.sa.</p><p>تدعم غرفة الرياض الشركات المقيمة أو العاملة في العاصمة بخدمات العضوية والشهادات وتقويم التدريب والشبكات المتوافقة مع برامج الإصلاح الوطنية. هي نقطة انطلاق عملية للكيانات التي تحتاج مقدمات محلية ووعي بالمناقصات ودعم وثائق مع جهات الرياض.</p>","غرفة الرياض: خدمات للأعمال، تدريب، وتمثيل لقطاع العاصمة—chamber.sa. تدعم غرفة الرياض الشركات المقيمة أو العاملة في العاصمة بخدمات العضوية والشهادات وتقويم التدريب والشبكات المتوافقة مع برامج الإصلاح الوطنية. هي نقطة انطلاق عملية للكيانات التي تحتاج مقدمات محلية ووعي","غرفة الرياض: خدمات للأعمال، تدريب، وتمثيل لقطاع العاصمة—chamber.sa.","Saudi Arabia",chamber_of_commerce,"تدعم غرفة الرياض الشركات المقيمة أو العاملة في العاصمة بخدمات العضوية والشهادات وتقويم التدريب والشبكات المتوافقة مع برامج الإصلاح الوطنية. هي نقطة انطلاق عملية للكيانات التي تحتاج مقدمات محلية ووعي",https://www.chamber.sa,chamber.sa,2,1,"{""title"":""غرفة الرياض: خدمات الأعمال في منطقة العاصمة"",""description"":""نظرة على عضوية غرفة الرياض وبرامج المؤسسات الصغيرة والفعاليات ودورها بجانب اتحاد الغرف والمنصات الوطنية."",""keywords"":""غرفة الرياض,chamber.sa,الرياض أعمال""}",,"[""عضوية وخدمات لمنطقة العاصمة"",""تدريب وفعاليات وبرامج SME"",""مقابل وطني للاتحاد""]",/chambers/riyadh-chamber-of-commerce
"غرفة جدة",1,ar,"Jeddah Chamber of Commerce","<p><strong>غرفة جدة</strong>. غرفة جدة (JCCI): تجارة غرب المملكة واللوجستيات وبوابة البحر الأحمر—jcci.org.sa.</p><p>تخدم غرفة جدة غرب المملكة بتركيز على الاستيراد والتصدير واللوجستيات والضيافة ومشاريع ممر البحر الأحمر. غالباً يجمع المستوردون والعاملون على الموانئ بين مقدمات الغرفة ومستشاري الجمارك والملاحة لأن لجان الغرفة تتابع اختناقات الممر وذروات الموسم.</p>","غرفة جدة (JCCI): تجارة غرب المملكة واللوجستيات وبوابة البحر الأحمر—jcci.org.sa. تخدم غرفة جدة غرب المملكة بتركيز على الاستيراد والتصدير واللوجستيات والضيافة ومشاريع ممر البحر الأحمر. غالباً يجمع المستوردون والعاملون على الموانئ بين مقدمات الغرفة ومستشاري الجمارك والملاحة لأن","غرفة جدة (JCCI): تجارة غرب المملكة واللوجستيات وبوابة البحر الأحمر—jcci.org.sa.","Saudi Arabia",chamber_of_commerce,"تخدم غرفة جدة غرب المملكة بتركيز على الاستيراد والتصدير واللوجستيات والضيافة ومشاريع ممر البحر الأحمر. غالباً يجمع المستوردون والعاملون على الموانئ بين مقدمات الغرفة ومستشاري الجمارك والملاحة لأن",https://www.jcci.org.sa,jcci.org.sa,3,1,"{""title"":""غرفة جدة: تجارة غرب المملكة واللوجستيات"",""description"":""كيف تدعم JCCI الأعمال في جدة والمنطقة الغربية مع تركيز على التجارة واللوجستيات ونشاط البحر الأحمر."",""keywords"":""غرفة جدة,JCCI,تجارة غرب السعودية""}",,"[""تركيز غربي على التجارة واللوجستيات"",""توجه بوابة لممر البحر الأحمر"",""لجان لقطاعات الموانئ""]",/chambers/jeddah-chamber-of-commerce
"غرفة المنطقة الشرقية",1,ar,"Eastern Province Chamber","<p><strong>غرفة المنطقة الشرقية</strong>. غرفة الشرقية: دعم صناعي وطاقة وبتروكيماويات في المنطقة الشرقية—chamber.org.sa.</p><p>ترسيخ غرفة المنطقة الشرقية (أشيقية) برامج للطاقة والتصنيع وسلاسل الإمداد حول الجبيل والدمام والظهران. يستخدمها المشغلون ذوو الحصة الكبيرة في المقاولين لمنتديات السلامة وإحاطات المحتوى المحلي ومقدمات لموردين من الدرجة الثانية نادراً ما تظهر في أدلة عامة.</p>","غرفة الشرقية: دعم صناعي وطاقة وبتروكيماويات في المنطقة الشرقية—chamber.org.sa. ترسيخ غرفة المنطقة الشرقية (أشيقية) برامج للطاقة والتصنيع وسلاسل الإمداد حول الجبيل والدمام والظهران. يستخدمها المشغلون ذوو الحصة الكبيرة في المقاولين لمنتديات السلامة وإحاطات المحتوى المحلي ومقدمات","غرفة الشرقية: دعم صناعي وطاقة وبتروكيماويات في المنطقة الشرقية—chamber.org.sa.","Saudi Arabia",chamber_of_commerce,"ترسيخ غرفة المنطقة الشرقية (أشيقية) برامج للطاقة والتصنيع وسلاسل الإمداد حول الجبيل والدمام والظهران. يستخدمها المشغلون ذوو الحصة الكبيرة في المقاولين لمنتديات السلامة وإحاطات المحتوى المحلي ومقدمات",https://www.chamber.org.sa,chamber.org.sa,4,1,"{""title"":""غرفة المنطقة الشرقية: صناعة وطاقة"",""description"":""سياق غرفة أشيقية للشركات في المنطقة الشرقية: التجمعات الصناعية والبرامج والربط بهيكل الغرف الوطني."",""keywords"":""غرفة الشرقية,أشيقية,الدمام,الجبيل""}",,"[""تركيز صناعي وطاقة"",""برامج منظومة الموردين"",""مقابل إقليمي للرياض وجدة""]",/chambers/eastern-province-chamber
"المجلس التجاري البريطاني السعودي",1,ar,"British Saudi Business Council","<p><strong>المجلس التجاري البريطاني السعودي</strong>. BSBC: تجارة ثنائية، مقدمات استثمار، وحوار سياسات بين المملكة المتحدة والسعودية—bsbc.org.uk.</p><p>يجمع المجلس التجاري البريطاني السعودي الشركات والخدمات المهنية والمؤسسات الصغيرة حول بعثات تجارية وتحديثات تنظيمية وجلسات قطاعية. يستخدمه المصدرون البريطانيون والشركاء السعوديون للتحقق من تسلسل دخول السوق مع أقران لديهم خبرة حديثة في الترخيص والضريبة والتوطين.</p>","BSBC: تجارة ثنائية، مقدمات استثمار، وحوار سياسات بين المملكة المتحدة والسعودية—bsbc.org.uk. يجمع المجلس التجاري البريطاني السعودي الشركات والخدمات المهنية والمؤسسات الصغيرة حول بعثات تجارية وتحديثات تنظيمية وجلسات قطاعية. يستخدمه المصدرون البريطانيون والشركاء السعوديون للتحقق من تسلسل دخول","BSBC: تجارة ثنائية، مقدمات استثمار، وحوار سياسات بين المملكة المتحدة والسعودية—bsbc.org.uk.","United Kingdom",business_council,"يجمع المجلس التجاري البريطاني السعودي الشركات والخدمات المهنية والمؤسسات الصغيرة حول بعثات تجارية وتحديثات تنظيمية وجلسات قطاعية. يستخدمه المصدرون البريطانيون والشركاء السعوديون للتحقق من تسلسل دخول",https://www.bsbc.org.uk,bsbc.org.uk,5,1,"{""title"":""المجلس التجاري البريطاني السعودي: تجارة واستثمار"",""description"":""ما يقدمه BSBC للشركات البريطانية والسعودية: شبكات وبعثات وسياق عملي للصفقات عبر الحدود."",""keywords"":""BSBC,تجارة بريطانيا السعودية,استثمار""}",,"[""شبكات ثنائية"",""بعثات وتحديثات تنظيمية"",""قراءة سوق مع الأقران""]",/chambers/british-saudi-business-council
"المجلس التجاري الأمريكي السعودي",1,ar,"US-Saudi Business Council","<p><strong>المجلس التجاري الأمريكي السعودي</strong>. USSBC: سياسات ودبلوماسية تجارية وبرامج أعضاء للشركات الأمريكية في السوق السعودي—ussbc.org.</p><p>ينشر المجلس التجاري الأمريكي السعودي معلومات سوق عبر الحدود ويستضيف وفوداً ويربط الصناعات الأمريكية وموردي الدفاع والخدمات بالوزارات والمشترين. يعامله الأعضاء كقناة علاقات طويلة الأمد تكمل فرق التجارة في السفارة عندما تتطلب البرامج متابعة خاصة مستدامة.</p>","USSBC: سياسات ودبلوماسية تجارية وبرامج أعضاء للشركات الأمريكية في السوق السعودي—ussbc.org. ينشر المجلس التجاري الأمريكي السعودي معلومات سوق عبر الحدود ويستضيف وفوداً ويربط الصناعات الأمريكية وموردي الدفاع والخدمات بالوزارات والمشترين. يعامله الأعضاء كقناة علاقات طويلة الأمد تكمل فرق","USSBC: سياسات ودبلوماسية تجارية وبرامج أعضاء للشركات الأمريكية في السوق السعودي—ussbc.org.",USA,business_council,"ينشر المجلس التجاري الأمريكي السعودي معلومات سوق عبر الحدود ويستضيف وفوداً ويربط الصناعات الأمريكية وموردي الدفاع والخدمات بالوزارات والمشترين. يعامله الأعضاء كقناة علاقات طويلة الأمد تكمل فرق",https://www.ussbc.org,ussbc.org,6,1,"{""title"":""المجلس التجاري الأمريكي السعودي: شركات أمريكية في السعودية"",""description"":""نظرة USSBC للمصدرين والمستثمرين الأمريكيين: الدعوة والبرامج ودخول السوق مع القنوات الحكومية."",""keywords"":""USSBC,تجارة أمريكا السعودية""}",,"[""معلومات سوق عبر الحدود"",""وفود ومشترين"",""مكمل للقنوات الحكومية""]",/chambers/us-saudi-business-council
"المجلس التجاري السعودي الفرنسي",1,ar,"Saudi French Business Council","<p><strong>المجلس التجاري السعودي الفرنسي</strong>. مجلس أعمال فرنسا–السعودية: لجان ثنائية وربط للمؤسسات الصغيرة وحوار اقتصادي.</p><p>يدعم المجلس التجاري السعودي الفرنسي الشراكات الصناعية Franco-Saudi وتصدير الخدمات والتعاون الثقافي. تستخدمه الشركات الفرنسية المتوسطة للوصول إلى مقدمات منظمة في قطاعات تنظيمية حيث تؤثر اللغة والوثائق وهياكل الشراكة المحلية على جودة العطاءات.</p>","مجلس أعمال فرنسا–السعودية: لجان ثنائية وربط للمؤسسات الصغيرة وحوار اقتصادي. يدعم المجلس التجاري السعودي الفرنسي الشراكات الصناعية Franco-Saudi وتصدير الخدمات والتعاون الثقافي. تستخدمه الشركات الفرنسية المتوسطة للوصول إلى مقدمات منظمة في قطاعات تنظيمية حيث تؤثر اللغة والوثائق","مجلس أعمال فرنسا–السعودية: لجان ثنائية وربط للمؤسسات الصغيرة وحوار اقتصادي.",France,business_council,"يدعم المجلس التجاري السعودي الفرنسي الشراكات الصناعية Franco-Saudi وتصدير الخدمات والتعاون الثقافي. تستخدمه الشركات الفرنسية المتوسطة للوصول إلى مقدمات منظمة في قطاعات تنظيمية حيث تؤثر اللغة والوثائق",https://www.medefinternational.fr,"Medef International",7,0,"{""title"":""المجلس التجاري السعودي الفرنسي: تعاون اقتصادي"",""description"":""ربط الشركات الفرنسية والسعودية: لجان وبعثات وتعاون قطاعي."",""keywords"":""مجلس فرنسي سعودي,Medef,تجارة فرنسا""}",,"[""لجان ثنائية"",""توفيق SME"",""قطاعات تنظيمية""]",/chambers/saudi-french-business-council
"المكتب الألماني السعودي للعلاقات الاقتصادية",1,ar,"Saudi German Liaison Office for Economic Affairs","<p><strong>المكتب الألماني السعودي للعلاقات الاقتصادية</strong>. AHK السعودية: مكتب الغرفة الألمانية لدخول السوق والتوجيه القانوني/الضريبي وبرامج الوفود—saudiarabien.ahk.de.</p><p>يساعد وفد الصناعة والتجارة الألمانية (AHK) في السعودية مصنعي Mittelstand ومقدمي الخدمات على توطين العروض وفحص الوكلاء ومواءمة العروض مع معايير المشتريات السعودية. يقترن الفريق بإحاطات AHK مع مستشاري المطابقة واللوجستيات عندما تكون الشحنات أو الاستثمارات في المصنع على المسار الحرج.</p>","AHK السعودية: مكتب الغرفة الألمانية لدخول السوق والتوجيه القانوني/الضريبي وبرامج الوفود—saudiarabien.ahk.de. يساعد وفد الصناعة والتجارة الألمانية (AHK) في السعودية مصنعي Mittelstand ومقدمي الخدمات على توطين العروض وفحص الوكلاء ومواءمة العروض مع معايير المشتريات السعودية. يقترن الفريق بإحاطات AHK مع مستشاري","AHK السعودية: مكتب الغرفة الألمانية لدخول السوق والتوجيه القانوني/الضريبي وبرامج الوفود—saudiarabien.ahk.de.",Germany,trade_association,"يساعد وفد الصناعة والتجارة الألمانية (AHK) في السعودية مصنعي Mittelstand ومقدمي الخدمات على توطين العروض وفحص الوكلاء ومواءمة العروض مع معايير المشتريات السعودية. يقترن الفريق بإحاطات AHK مع مستشاري",https://saudiarabien.ahk.de,"AHK Saudi Arabia",8,0,"{""title"":""AHK السعودية: مكتب الارتباط الألماني"",""description"":""كيف تدعم الغرفة الألمانية التجارة الثنائية والوفود ودخول السوق للشركات الألمانية."",""keywords"":""AHK السعودية,الغرفة الألمانية,تجارة ألمانيا""}",,"[""دخول السوق"",""وفود وبرامج"",""Mittelstand""]",/chambers/saudi-german-liaison-office-for-economic-affairs
"المجلس التجاري الإماراتي السعودي",1,ar,"UAE-Saudi Business Council","<p><strong>المجلس التجاري الإماراتي السعودي</strong>. مجلس الإمارات–السعودية: تجارة ممر الخليج وشبكات الأعمال العائلية وحوار استثمار عبر الحدود.</p><p>يركز المجلس التجاري الإماراتي السعودي على اللوجستيات والتجزئة والإنشاءات ورأس مال المكاتب العائلية عبر دول الخليج. يستخدمه المشغلون لمواءمة البنوك وهيكلة المجموعات وتسهيلات التأشيرة مع أقران يتعاملون مع إصلاحات متوازية في السوقين.</p>","مجلس الإمارات–السعودية: تجارة ممر الخليج وشبكات الأعمال العائلية وحوار استثمار عبر الحدود. يركز المجلس التجاري الإماراتي السعودي على اللوجستيات والتجزئة والإنشاءات ورأس مال المكاتب العائلية عبر دول الخليج. يستخدمه المشغلون لمواءمة البنوك وهيكلة المجموعات وتسهيلات التأشيرة مع أقران يتعاملون","مجلس الإمارات–السعودية: تجارة ممر الخليج وشبكات الأعمال العائلية وحوار استثمار عبر الحدود.",UAE,business_council,"يركز المجلس التجاري الإماراتي السعودي على اللوجستيات والتجزئة والإنشاءات ورأس مال المكاتب العائلية عبر دول الخليج. يستخدمه المشغلون لمواءمة البنوك وهيكلة المجموعات وتسهيلات التأشيرة مع أقران يتعاملون",https://www.uaesaudibusinesscouncil.org,uaesaudibusinesscouncil.org,9,0,"{""title"":""المجلس التجاري الإماراتي السعودي: تجارة الخليج"",""description"":""دعم الروابط التجارية الإماراتية–السعودية: لجان وشبكات عملية."",""keywords"":""مجلس إماراتي سعودي,تجارة الخليج""}",,"[""لوجستيات وتجزئة"",""رأس مال عائلي"",""إصلاحات متوازية""]",/chambers/uae-saudi-business-council
"المجلس التجاري البحريني السعودي",1,ar,"Bahrain Saudi Business Council","<p><strong>المجلس التجاري البحريني السعودي</strong>. مجلس البحرين–السعودية: لوجستيات جسر الملك فهد ومشاريع تصنيع مشتركة وروابط ممر الخدمات المالية.</p><p>يساعد المجلس التجاري البحريني السعودي الشركات على استغلال القرب عبر جسر الملك فهد للتصنيع الخفيف والتوزيع وتجارب التكنولوجيا المالية. ينسق الأعضاء على انضباط وثائق الجمارك ونماذج الرواتب عبر الحدود الحساسة لتغيير القواعد.</p>","مجلس البحرين–السعودية: لوجستيات جسر الملك فهد ومشاريع تصنيع مشتركة وروابط ممر الخدمات المالية. يساعد المجلس التجاري البحريني السعودي الشركات على استغلال القرب عبر جسر الملك فهد للتصنيع الخفيف والتوزيع وتجارب التكنولوجيا المالية. ينسق الأعضاء على انضباط وثائق الجمارك ونماذج الرواتب عبر الحدود","مجلس البحرين–السعودية: لوجستيات جسر الملك فهد ومشاريع تصنيع مشتركة وروابط ممر الخدمات المالية.",Bahrain,business_council,"يساعد المجلس التجاري البحريني السعودي الشركات على استغلال القرب عبر جسر الملك فهد للتصنيع الخفيف والتوزيع وتجارب التكنولوجيا المالية. ينسق الأعضاء على انضباط وثائق الجمارك ونماذج الرواتب عبر الحدود",https://www.bahrainsaudi.org,bahrainsaudi.org,10,0,"{""title"":""المجلس التجاري البحريني السعودي: تجارة الجسر"",""description"":""مجلس ثنائي لشركات بحرينية وسعودية: لوجستيات وتصنيع وممر مالي."",""keywords"":""مجلس بحريني سعودي,جسر الملك فهد""}",,"[""قرب الجسر"",""تصنيع خفيف"",""تنسيق جمركي""]",/chambers/bahrain-saudi-business-council
