nid,service_cost,payment_options
542,,
498,,
497,,Bank transfer.
496,From 750 SAR,Bank transfer.
495,"45,000 SAR",Bank transfer.
494,,Bank transfer.
493,,
492,,
491,,
490,,
489,,
488,,
487,,
486,,
485,,
484,,
483,,
482,,
481,,
480,,
479,,
478,,
477,,
476,,
475,,
474,,
473,,
472,,
470,,
469,,
468,,
467,,
466,,
465,,
464,,
463,,
462,300 SAR,Bank transfer. Professional fee; GOSI outputs per official portal.
460,300 SAR,Bank transfer. Professional fee; Saudization certificate per Qiwa/GOSI data.
458,"3,500 SAR",Bank transfer. Instalment plan terms with GOSI; government debt amounts per GOSI.
456,"4,300 SAR","Bank transfer. Includes SBC Articles of Association amendment fee (1,800 SAR)."
454,300 SAR,Bank transfer. SPL or other government address fees may apply separately.
453,,
446,,Bank transfer. MHRSD work permit levy per official tariff.
433,"3,500 SAR",Bank transfer. No government opening fee listed; bank charges may apply.
431,"14,350 SAR","Bank transfer. Bundle covers listed medical, insurance, work permit, and passport items."
429,,Bank transfer. Muqeem subscription and related government fees apply.
426,,Bank transfer. National Address / virtual-address government charges may apply.
424,,Bank transfer. Mudad/WPS-related government fees apply.
422,,Bank transfer. GOSI contributions and registration charges per GOSI.
420,,Bank transfer. MOFA and Enjaz government fees apply.
418,"2,750 SAR","Bank transfer. Includes MHRSD fees (2,000 SAR)."
416,"2,250 SAR","Bank transfer. Includes Qiwa platform activation fee (1,300 SAR)."
414,750 SAR,Bank transfer. Chamber membership government fees vary by category.
412,"3,500 SAR","Bank transfer. Includes Ministry of Commerce fee (1,800 SAR)."
410,"1,500 SAR",Bank transfer. Plus MOC name fees (300 SAR Arabic / 500 SAR English).
183,,
100,,
99,Tailored to scope,Bank transfer or agreed corporate payment method.
98,,
97,,
96,,
92,,
91,"From 2,000 SAR",
90,,
83,,
65,,
1,,
